"id","transcription","language","original_split"
"lug_58599","Omwana omuto nga mweru ayambadde akakoofiira, mu mukono gwe ogwa ddyo awanise ekigalo kisajja, mu mukono gwe okwakkono akutte ekyennyanja. Omwana ono alabika musanyufu, emabega we wayimidddeyo omusajja ali mu kat-shirt akamyufu n'akapale akampi akali mu langi eya bbulu, bano nno bayimiridde wakati mu nnyanja.","lug","train"
"lug_87509","Kino ekifaanani kiraga ebintu byonna biri mu mu kifo eky'ensozi era nga biraga bimera baabisimba mu massekkati g'ensozi.","lug","train"
"lug_87554","Mu kifaananyi kino ndaba Kabaka owaffe wano mu Buganda era ndaba ne Katikkiro ng'akutamye nga kirinzika okuba baali balina emboozi gye baali banyumya era ndaba Kabaka nga musanyufu.","lug","train"
"lug_87525","Empungu zino ziri ku katabi k'omuti, empungu zino zirina kkala enjeru wano nga ku kifuba ne kkala enzirugaalirivu ku biwawaatiro ne ku mugongo. Empungu zino zeetegereza ekyokulya kye zinaayigga okuva wansi ku ttaka.","lug","train"
"lug_87556","Ekifaananyi kino kiraga ekifo abajulizi we battirwa, era kiraga nga eky'e Namugongo, kiriko emitayimbwa n'akasolya n'akabonero Akabakatuliki.","lug","train"
"lug_87577","Abaana ab'obulenzi abawerako bali mu kibinja, kirabika bannabyamizannyo eeh nga beekutte wamu, abamu bali mu ngoye abalala tebali mu massaati waggulu, abali mu ngoye abamu engoye za langi emmyufu, mulimu aah eza bbululu ate n'enzirugavu. Ebbali eriyo eriyo abaana abalala abatambula nga kirabika we bali ngeri ya bbiici.","lug","train"
"lug_5642","Abaana abawala babiri batudde ku ttaka mu luggya bazannya omuzannyo oguyitibwa omweso, emabega waabwe waliyo obusiisira obuwererako ddala n'abantu ab'enjawulo abayimiridde okumpi n'obusiisira buno; obusiisira bwonna bwaserekebwa n'essubi.","lug","train"
"lug_5631","Omusajja akutte eki omuzinga gw'enjuki mwe ziriteeka omubisi gwazo n'enjuki zijjudde ku muzinga era akikwasizza ebi ebi ebigi ebi ebigi ebikono ebikwata mwe zitasobola kuyita kumuluma.","lug","train"
"lug_5684","Abaami babiri bali mu lyato, omu akutte muti ali mu kuseeyeeya, omulala akasuse akatimba ali mu kuvuba.","lug","train"
"lug_5675","Obutebe kkumi na busatu busimbiddwa ku layini emu. Obutebe kkumi na kamu bwa kitakataka ate obubiri bulina langi y'evvu. Obutebe buno, bwalukibwa bulukibwa ng'ekisero. Busimbiddwa wabweru mu kifo ekyasibibwamu amayinja wansi era emabega waabwo waliwo ekifo ekigulumivu ekirimu omuddo.","lug","train"
"lug_44281","Ennyumba eri mu kuzimbibwa abasajja bana bali mu kuzimba nnyumba, bali mu kusereka, 
nnyumba  eno eziki...  ezimbiddwa bbulooka zino ennene era ng'eri ku luba ku lubalama lw'ennyanja.","lug","train"
"lug_44244","Abaami nga bali ku lyato bakutte enkasi omu ali ku luuyi olwa kkono omulala ali ku luuyi olwa ddyo nga basaabala okuva ku luuyi luno okudda ku lulala.","lug","train"
"lug_44283","Kubamu akafaananyi ng'obadde otambula oyina wooli mu miti, n'ojja osanga obwenyi oba n'ogwisaganyako obwenyi n'ekisolo kino, bw'ogenda okwetegereza  ng'ekisolo kino mpologoma erabika ng'eyina we yali ewummuludde ng'ekenga erabe oba eneefuna ekyokulya","lug","train"
"lug_44284","Ente nga ziri ku ttale era muno nga mulimu ente ez'amayambe amawanvu n'endala nga za mayembe mampi era nga ziri mu langi ez'enjawulo. Nga mulimu eziri mu langi eya kitaka, n'endala nga ziri mu langi enzirugavu enkwafu nga mulimu n'ezirina amabala.","lug","train"
"lug_44249","Enno nnyanja ate nga nnyanja eraga nti nnene kuba bw'otunuulira ekifaananyi engeri gye kigenda kyeyongera galaga amazzi gakyagenda. Mu nnyanja wakati mulimu obuzinga obutini wadde nga tebusobola kuba nga bubeerwako abantu. Ennyanja eyina emigaso mingi, etuwa ebyennyanja, etuwa amazzi, ewa abantu emirimu kuba abavubi abakolako okuvuba ebyennyanja giba mirimu gyabwe ne basobola oba nga bafunamu ssente bwe baba bamaze okubitunda.","lug","train"
"lug_56470","Obusiisira bubiri obwawundibwa obulungi bulina enzigi za mmuli buli mu kifo ekiyonjo obulungi. Emabega waabwo waliyo ekisansa, waliyo emiti, waliyo n'ebitooke.","lug","train"
"lug_56454","Wano ndaba omwami eyaddira emipiira gy'emmotoka n'agikola nga giri waggulu. Akola nga gundi ali mu kukola gye twandiyise dduyiro y'ebikonde nga kw'agezesa omubiri gwe.","lug","train"
"lug_56452","Ekizike ekiddugavu kitudde mu nsiko wabbali waliyo ekizike kyakyo naye kirengerwako kugulu kuddugavu kwokka kitudde mu muddo ogwa kiragala.","lug","train"
"lug_56445","Bano baana bato era balabika baali bava ku ssomero nga bonna basanyufu bambadde ebyambalo ebya bbululu ow'amazzi obulala bwambadde ebyambalo bimyufu era nga buyimiridde emabbali g'ekkubo ery'ettaka naye nga busanyufu okufa obufi.","lug","train"
"lug_56423","Bino nno bivuga byaffe bya kinnansi era nga biraga nti waliwo ekifo we babikuumidde ebivuga bino bikola kya maanyi nnyo mu nsi yaffe n'okulaga ebika byaffe oba bika.","lug","train"
"lug_56407","Ekibajje eky'enjawulo ekyabajjibwa obulungi ne bakiwunda bulungi kiri mu kifo ekitegekeddwa obulungi era nga kyetooloddwako n'endabirwamu kiri mu langi ezisikiriza okulaba  langi enzirugavu ate ne langi eya kitaka.","lug","train"
"lug_56427","Amaka galimu ennyumba ez'ekika ekyobusiisira bbiri, mu luggya lw'amaka gano wayimiriddewo abaana abato babiri sso nga ate ku luda olulala waliwo embwa.","lug","train"
"lug_56417","Omusajja omusajja ali, omusajja akutte akatimba era avuba era agezaako okuvuba ebyennyanja mu nnyanja.","lug","train"
"lug_56476","Ekifaananyi kino kindaga essowaani y'ebyokulya era essowaani eno ng'eri emu naye ng'eriko ebyokulya eby'enjawulo olaba eriko ebyokulya eby'enjawulo eriko emboga eriko amagi ebyokulya eby'enjawulo naye nga biri kintabuli.","lug","train"
"lug_56463","Eggana ly'ente eriri mu kkubo ery'ettaka erirundirwa omulaalo aweese omu... omuggo emabega ku mugongo gwe. Ente nsolo mu Buganda ezeddibwa era nga za muwendo nnyo eziku... ezivaamu ebintu eby'enjawulo okugeza amata, ennyama n'amaliba ebyeyambisibwa abantu mu mu bintu bya buli bya buli lunaku.","lug","train"
"lug_1945","Emmotoka eriko enkota z'amatooke ng'eri mu kutambulira ku luguudo ku mwasanjala. Kuliko abasajja babiri omu ayimiridde omulala yeebase mu matooke.","lug","train"
"lug_1912","Akayumba awakyamirwa nga kali wano kagguddwa konna konna.","lug","train"
"lug_1977","Lino zzike liyina kye litunuulira. Diyina ebyoya ebiddugavu. Diri mu nsiko mu nsiko mujjudde ebikoola ebimyufu. Ezzike lino dirabika liyina gwe lyali litunuulidde era nga lyetegereza.","lug","train"
"lug_1980","Abasambi b'omupiira basanyufu. Beekuŋŋaanyizza wamu bonna basanyuka era n'omufuuyi w'omupiira waali awo ebbali waabwe.","lug","train"
"lug_1935","Abakyala nga beetisse enku nga batambula baddayo ewaka basibye bulungi ensekese z'enku omu ayambadde empale.","lug","train"
"lug_1942","Ndaba olugoye olwa kitakataka omukwafu nga luli ku kyalaani nga lutungibwa n'ekyalaani ekirungi. Kuliko olukoba olupima n'omukono ogwambadde ekikomo.","lug","train"
"lug_1925","Emmotoka etukubye kabina emmotoka eno kika kya ttakisi ya langi ya kiragala emmotoka eno ewandiikiddwako ebigambo, ebigambo biri mu langi njeru emmotoka eno etambuza balambuzi tulaba waliwo n'obubonero obukola ku luguudo obulaga nti wa mmaaso waliyo akabenje emmotoka eno eri ku luguudo lwa ttaka tulaba ng'obudde bwa misana bulungi era omusana gwaka ssayidi wali tulengera emiti emiti gino giriko langi ya kiragala. Tulaba ekizimbe kizimbisiddwa mabaati ssayidi wano waliwo emmotoka epaakinze, tulaba n'ekizimbe waggulu kiriko MTN kiriko MTN agent kuliko ne oh langi eya kyenvu, emmyufu ne langi eya bbulu.","lug","train"
"lug_94660","Omusajja ayina ekirevu ekyeru asibye ekitambaala ku mutwe, ayambadde akajoozi aka bbululu, atali mu mpale wabula yeezingiridde leesu, alabika asimbuliza omuceere mu mazzi.","lug","train"
"lug_94650","Ndaba kalalankoma ng'ali mu kiyumba, ali mu kiyumba kye. Kalalankoma ono ayina ebyoya, alina kkala ez'enjawulo okuli kkala enzirugavu ne kkala eya kyenvu.","lug","train"
"lug_94638","Omuwala yeetisse enkota y'amatooke ku mutwe, wansi w'enkota eno waliwo olulagala, omuwala aweese omwana omuto ku mugongo, ayina ne ky'akutte mu ngalo; omuwala ono ali mu lusuku, olusuku lulabika bulungi.","lug","train"
"lug_94691","Ettale nga lino ddene nnyo era nga lirabikira ddala bulungi, lirimu omuddo oguli mu langi eya kiragala era nga mulimu n'obuti obutonotono obuli mu langi eya kiragala, mulimu ensolo ez'enjawulo eziri mu ttambula era ng'emabega waalyo waliyo obuti obungi obuli mu langi eya kiragala.","lug","train"
"lug_94635","Empande nga zirina ebikoola mu langi eya kiragala. Akayumba akaaserekebwa essubi n'emiti, olunyanfa mu kayumba ako, era akayumba kakadde. Kali wakati mu miti gy'emiyembe, emabega eriyo obuyumba obulala.","lug","train"
"lug_94698","Omusajja ayambadde jjiini awumbye emikono. Mu bulago ayambadde kkamera. Kkamera ekozesebwa okukuba ebifaananyi ku mikolo ne mu bifo eby'enjawulo. Omusajja yeesigamye emmotoka, emmotoka gye yeesigamye ya bulambuzi. Emmotoka ekozesebwa okusaabaza abantu bagitambuliramu mu bifo eby'enjawulo emabbali w'emmotoka waliwo omuddo, omuddo ogumu guli mu kkala ya kiragala omulala guli mu kkala eya kyenvu.","lug","train"
"lug_67268","Wano ndaba enguudo ezitindiddwa obulungi nga ezimu ziyita wansi endala ziyita waggulu ng'enguudo zino zitegekebbwa bulungi nnyo nnyini ddala.","lug","train"
"lug_67259","Ensiko eyina emiti mingi ddala. Waggulu waayo waliyo obu nsozi nnyingi eziyina omuddo ogwa kiragala.","lug","train"
"lug_67296","Ebigere by'abaana abasamba omupiira nga bali mu kisaawe eky'ettaka. Ekisaawe kino kirimu n'amayinja naye nga abaana bawerako omupiira oguddugala guli ku kigere ky'omwana omu.","lug","train"
"lug_67254","Abantu bano bandiba abagole, omugole omukyala ayambadde empeta, n'omwami ayambadde empeta era omwami ayambadde akasuuti aka bbulawuni, aku ensawo zaako nga nzirugavu era nga n'omukyala  asibye essaawa ku mukono gwe ng'ayambadde ekiteeteeyi eky'abagole, kale nno abantu bano bagole.","lug","train"
"lug_67244","Ente eziwerako ziri mu kkubo za mayembe mawanvu ziri mu langi eya kitaka n'enzirugavu emabega eri eriyo omwami ajja azivaako emabega ekkubo lya ttaka waliwo ebbali w'ekkubo n'ensiko ng'eriko ebikoola ebya kiragala.","lug","train"
"lug_47152","Ndaba ekifaananyi eky'abantu nga bana bataano bava mugga. Abamu beetisse ebidomola ebya kyenvu ate omulala akitadde ku ggaali ye akulula kikulule naye nga batambula. Ate gye bayita waliwo ennimiro eya kasooli.","lug","train"
"lug_47190","Tulaba ebimuli eby'enjawulo naye nga bya kakobe era nga mu kimu ku bimuli bino kuliko enjuki eri emu eraga nti eri mu kunuuna mubisi ku kimuli kino.","lug","train"
"lug_47107","Ku mwalo amaato we gagobera, ku lukalu waliwo amaato mangi era nga gali mu langi okusingira ddala  eya bbululu. Mu maaso awo waliwo n'akabwa kalimu kalimu ebikuubo ekyeru n'ekiddugavu. Emabbali w'ennya w'amaato eriyo ennyanja.","lug","train"
"lug_47111","Enjuki kiwuka ekibuuka ng'era kirundibwa ng'omulimu okufunamu omubisi. Enjuki ziruma era zitta. Enjuki zeekuŋŋaanyirizza ku kimuli oku okufunamu omubisi. Enjuki abamu bazitya naye nga kiwuka ekiviiramu ddala ssente.","lug","train"
"lug_47105","Enjuki ebuukirabuukira ku bimuli era ng'enjuki eno ejjudde empumbu gy'eggye ku bimuli bino. Empumbu ya kyenvu ate nga n'ebimuli bino birimu kyenvu ne langi enzirugavu. Enjuki zaagala nnyo ebimuli olw'okufunako empumbu kw'ossa n'amazzi ge zikolamu omubisi.","lug","train"
"lug_88621","Mu kyalo abantu baali balima omuddo ogwali gwetoolodde ennyumba zaabwe okwewala ebisolo ebisobola okuyingira ennyumba zaabwe ebibeera mu muddo.","lug","train"
"lug_88657","Abaana basatu bali kukima mazzi ng'ekidomola ekimu bamaze okukisibira ku kkaliya y'eggaali nga beeyambisa enkoba ekidomola ekirala bakiwummulizza ebbali kyakusubibwa ku ggaali eyookubiri ewummuziddwa ebbali.","lug","train"
"lug_88619","Ssemayanja oba ennyanja nga ntebenkenvu, terina buzibu era ng'eri walaga nti enjuba eggweerayo.","lug","train"
"lug_88626","Wano ndaba ekibira wabula ekibira kino kyali mu kiwonvu era nga kyali kirimu emiti egy'enjawulo era nnengera ne kiragala nga mukwafu nnyo wewaawo ng'eri waggulu enjuba eringa eyali ekubyeyo ng'evaayo.","lug","train"
"lug_88675","Ono afaanana nga Kiyira; omugga gujjudde ama omugga gujjudde amayengo amayitirivu! Ekifaananyi kyonna kiraga omugga nga munene.","lug","train"
"lug_88663","Obudde bwa misana, akaana akato akeeru kambadde biddugavu, kayina bye kakutte mu mukono, kayimiridde mu magulu g'omukyala, ayambadde gaalubindi enzirugavu ku maaso, akasweta mu langi njeru ka mikono miwanvu, n'empale ya jjiini nzirugavu, aweese n'akasawo ayina akaama k'amubuulira.","lug","train"
"lug_72508","Emiti egyasimbibwa mu layini obulungi. Emiti bwe gisimbibwa bwe biti bwe giti ebiseera ebisinga gibeera gisimbiddwa kugisalako mbaawo okusobola okufunamu ssente.","lug","train"
"lug_72555","Abaana abato omuli abalenzi n'abawala nga batudde ku ntebe era nga mu bo mulimu omukyala ayimiridde nga mu ndabika alaga musomesa.","lug","train"
"lug_72583","Oluguudo lwa ttaka ku mabbali n'emabbali waliyo emiti gye lulaga oluguudo waliyo omulongooti, amayumba mulimu abantu abatambula ebire bikutte enkuba ebindabinda.","lug","train"
"lug_72575","Emmotoka entono ey'obuyonjo esala ekkubo okuva ku ludda olumu okudda ku ludda olulala wabula ng'emabbalibbali waliwo ennyumba ezeesudde akabangirizi okuva mu kibuga ekimu era nga ku zo waliwo n'eriko akatimba akagyetoolodde.","lug","train"
"lug_29861","Abayizi bali mu kibiina bambadde obusaati bwaaa bumyufu omusomesa asomesa ate omuyizi omu atunudde mabega w'ekibiina.","lug","train"
"lug_29867","Ebiwumbe eby'enjawulo byakolebwa okulaga obuwangwa mu bifo eby'enjawulo mu Uganda, ng'ekiwumbe ekya Balu kiyina amayembe abiri, eky'Abakalamoja  kirina omusajja ayambadde ekikoofiira okuli ebyoya, eky'Abagisu n'eky'Abacholi.","lug","train"
"lug_29810","Abakyala ab'enjawulo beetisse ebintu eby'enjawulo ku ssiniya zaabwe, essiniya bazeetisse mu mutwe, ayambadde essaati emmyufu yeetisse obutungulu ate sso wabula ayambadde eya bbululu ye yeetisse ebintu eby'enjawulo.","lug","train"
"lug_29899","Ebyokulya eby'enjawulo nga biteekeddwa ku masowaani ameeru n'amaddugavu ebyokulya bino bizingiramu ennyaanya bulokoli n'ebirala bingi.","lug","train"
"lug_29871","Eno paakingi ya mmotoka era nga eraga obudde buzibye era paakingi eno erimu amataala ag'enjawulo ate nga mulimu waliwo n'ekizimbe ekiwanvu ekirinaanidde paakingi eno ate nga mu paakingi eno musimbibbwamu n'ebipande eby'abantu abalaga nti beesimbyewo.","lug","train"
